Country or Area,Year(s),Value
Afghanistan,2008,1663
Albania,2008,518
Algeria,2008,591
Andorra,2008,310
Angola,2008,1685
Antigua and Barbuda,2008,682
Argentina,2008,553
Armenia,2008,864
Australia,2008,278
Austria,2008,335
Azerbaijan,2008,918
Bahamas,2008,629
Bahrain,2008,408
Bangladesh,2008,1210
Barbados,2008,487
Belarus,2008,1017
Belgium,2008,369
Belize,2008,747
Benin,2008,1528
Bhutan,2008,1027
Bolivia (Plurinational State of),2008,791
Bosnia and Herzegovina,2008,498
Botswana,2008,1633
Brazil,2008,667
Brunei Darussalam,2008,480
Bulgaria,2008,687
Burkina Faso,2008,1497
Burundi,2008,1893
Cabo Verde,2008,772
Cambodia,2008,1189
Cameroon,2008,1846
Canada,2008,320
Central African Republic,2008,2275
Chad,2008,1841
Chile,2008,414
China,2008,568
Colombia,2008,493
Comoros,2008,1194
Congo,2008,1468
Cook Islands,2008,559
Costa Rica,2008,400
Côte d’Ivoire,2008,2567
Croatia,2008,531
Cuba,2008,476
Cyprus,2008,243
Czech Republic,2008,501
Democratic People's Republic of Korea,2008,779
Democratic Republic of the Congo,2008,1765
Denmark,2008,411
Djibouti,2008,1289
Dominica,2008,596
Dominican Republic,2008,708
Ecuador,2008,515
Egypt,2008,805
El Salvador,2008,796
Equatorial Guinea,2008,1466
Eritrea,2008,952
Estonia,2008,718
Ethiopia,2008,1863
Fiji,2008,957
Finland,2008,395
France,2008,360
Gabon,2008,1251
Gambia,2008,1618
Georgia,2008,750
Germany,2008,362
Ghana,2008,1452
Greece,2008,325
Grenada,2008,826
Guatemala,2008,815
Guinea,2008,1906
Guinea-Bissau,2008,2007
Guyana,2008,1417
Haiti,2008,1190
Honduras,2008,844
Hungary,2008,753
Iceland,2008,269
India,2008,1002
Indonesia,2008,876
Iran (Islamic Republic of),2008,600
Iraq,2008,1162
Ireland,2008,339
Israel,2008,289
Italy,2008,273
Jamaica,2008,680
Japan,2008,281
Jordan,2008,783
Kazakhstan,2008,1394
Kenya,2008,1495
Kiribati,2008,952
Kuwait,2008,466
Kyrgyzstan,2008,1307
Lao People's Democratic Republic,2008,1221
Latvia,2008,840
Lebanon,2008,614
Lesotho,2008,2748
Liberia,2008,1760
Libya,2008,718
Lithuania,2008,908
Luxembourg,2008,362
Madagascar,2008,1058
Malawi,2008,3147
Malaysia,2008,663
Maldives,2008,499
Mali,2008,1262
Malta,2008,300
Marshall Islands,2008,2681
Mauritania,2008,1265
Mauritius,2008,774
Mexico,2008,570
Micronesia (Federated States of),2008,800
Monaco,2008,316
Mongolia,2008,995
Montenegro,2008,575
Morocco,2008,535
Mozambique,2008,2167
Myanmar,2008,1320
Namibia,2008,1889
Nauru,2008,1633
Nepal,2008,897
Netherlands,2008,323
New Zealand,2008,312
Nicaragua,2008,680
Niger,2008,1057
Nigeria,2008,1632
Niue,2008,629
Norway,2008,315
Oman,2008,766
Pakistan,2008,998
Palau,2008,825
Panama,2008,457
Papua New Guinea,2008,1090
Paraguay,2008,569
Peru,2008,478
Philippines,2008,911
Poland,2008,632
Portugal,2008,381
Qatar,2008,292
Republic of Korea,2008,348
Republic of Moldova,2008,1064
Romania,2008,700
Russian Federation,2008,1172
Rwanda,2008,1174
Saint Kitts and Nevis,2008,552
Saint Lucia,2008,628
Saint Vincent and the Grenadines,2008,705
Samoa,2008,771
San Marino,2008,220
Sao Tome and Principe,2008,654
Saudi Arabia,2008,664
Senegal,2008,1133
Serbia,2008,657
Seychelles,2008,867
Sierra Leone,2008,1675
Singapore,2008,326
Slovakia,2008,622
Slovenia,2008,412
Solomon Islands,2008,685
Somalia,2008,1725
South Africa,2008,2259
Spain,2008,305
Sri Lanka,2008,804
Sudan,2008,1282
Suriname,2008,746
Swaziland,2008,3109
Sweden,2008,293
Switzerland,2008,273
Syrian Arab Republic,2008,611
Tajikistan,2008,904
Thailand,2008,827
The former Yugoslav Republic of Macedonia,2008,561
Timor-Leste,2008,960
Togo,2008,1562
Tonga,2008,911
Trinidad and Tobago,2008,781
Tunisia,2008,469
Turkey,2008,550
Turkmenistan,2008,1422
Tuvalu,2008,1321
Uganda,2008,1959
Ukraine,2008,1188
United Arab Emirates,2008,434
United Kingdom,2008,359
United Republic of Tanzania,2008,1733
United States of America,2008,460
Uruguay,2008,549
Uzbekistan,2008,971
Vanuatu,2008,860
Venezuela (Bolivarian Republic of),2008,532
Viet Nam,2008,685
Yemen,2008,999
Zambia,2008,2395
Zimbabwe,2008,3046
