Country or Area,Year(s),Value
Afghanistan,2008,634
Albania,2008,215
Algeria,2008,200
Andorra,2008,80
Angola,2008,459
Antigua and Barbuda,2008,306
Argentina,2008,165
Armenia,2008,378
Australia,2008,65
Austria,2008,80
Azerbaijan,2008,489
Bahamas,2008,228
Bahrain,2008,207
Bangladesh,2008,421
Barbados,2008,166
Belarus,2008,446
Belgium,2008,85
Belize,2008,268
Benin,2008,413
Bhutan,2008,366
Bolivia (Plurinational State of),2008,208
Bosnia and Herzegovina,2008,266
Botswana,2008,293
Brazil,2008,248
Brunei Darussalam,2008,219
Bulgaria,2008,339
Burkina Faso,2008,377
Burundi,2008,391
Cabo Verde,2008,235
Cambodia,2008,384
Cameroon,2008,473
Canada,2008,82
Central African Republic,2008,483
Chad,2008,461
Chile,2008,114
China,2008,199
Colombia,2008,152
Comoros,2008,393
Congo,2008,391
Cook Islands,2008,275
Costa Rica,2008,118
Côte d’Ivoire,2008,651
Croatia,2008,179
Cuba,2008,172
Cyprus,2008,99
Czech Republic,2008,164
Democratic People's Republic of Korea,2008,273
Democratic Republic of the Congo,2008,399
Denmark,2008,92
Djibouti,2008,406
Dominica,2008,221
Dominican Republic,2008,270
Ecuador,2008,142
Egypt,2008,303
El Salvador,2008,168
Equatorial Guinea,2008,443
Eritrea,2008,306
Estonia,2008,269
Ethiopia,2008,473
Fiji,2008,476
Finland,2008,112
France,2008,65
Gabon,2008,325
Gambia,2008,500
Georgia,2008,450
Germany,2008,102
Ghana,2008,359
Greece,2008,109
Grenada,2008,314
Guatemala,2008,170
Guinea,2008,542
Guinea-Bissau,2008,522
Guyana,2008,683
Haiti,2008,342
Honduras,2008,261
Hungary,2008,252
Iceland,2008,65
India,2008,328
Indonesia,2008,308
Iran (Islamic Republic of),2008,271
Iraq,2008,359
Ireland,2008,84
Israel,2008,72
Italy,2008,66
Jamaica,2008,184
Japan,2008,68
Jordan,2008,418
Kazakhstan,2008,650
Kenya,2008,276
Kiribati,2008,394
Kuwait,2008,272
Kyrgyzstan,2008,607
Lao People's Democratic Republic,2008,394
Latvia,2008,359
Lebanon,2008,224
Lesotho,2008,443
Liberia,2008,378
Libya,2008,320
Lithuania,2008,312
Luxembourg,2008,98
Madagascar,2008,289
Malawi,2008,634
Malaysia,2008,217
Maldives,2008,229
Mali,2008,292
Malta,2008,100
Marshall Islands,2008,1427
Mauritania,2008,362
Mauritius,2008,440
Mexico,2008,217
Micronesia (Federated States of),2008,389
Monaco,2008,68
Mongolia,2008,401
Montenegro,2008,296
Morocco,2008,214
Mozambique,2008,498
Myanmar,2008,321
Namibia,2008,524
Nauru,2008,867
Nepal,2008,279
Netherlands,2008,77
New Zealand,2008,91
Nicaragua,2008,230
Niger,2008,246
Nigeria,2008,377
Niue,2008,297
Norway,2008,74
Oman,2008,504
Pakistan,2008,361
Palau,2008,387
Panama,2008,138
Papua New Guinea,2008,390
Paraguay,2008,215
Peru,2008,86
Philippines,2008,362
Poland,2008,219
Portugal,2008,87
Qatar,2008,109
Republic of Korea,2008,85
Republic of Moldova,2008,401
Romania,2008,280
Russian Federation,2008,517
Rwanda,2008,290
Saint Kitts and Nevis,2008,217
Saint Lucia,2008,267
Saint Vincent and the Grenadines,2008,245
Samoa,2008,381
San Marino,2008,86
Sao Tome and Principe,2008,183
Saudi Arabia,2008,401
Senegal,2008,307
Serbia,2008,274
Seychelles,2008,265
Sierra Leone,2008,383
Singapore,2008,115
Slovakia,2008,224
Slovenia,2008,96
Solomon Islands,2008,308
Somalia,2008,544
South Africa,2008,307
Spain,2008,68
Sri Lanka,2008,214
Sudan,2008,503
Suriname,2008,332
Swaziland,2008,551
Sweden,2008,79
Switzerland,2008,59
Syrian Arab Republic,2008,327
Tajikistan,2008,427
Thailand,2008,244
The former Yugoslav Republic of Macedonia,2008,284
Timor-Leste,2008,260
Togo,2008,370
Tonga,2008,446
Trinidad and Tobago,2008,378
Tunisia,2008,131
Turkey,2008,268
Turkmenistan,2008,808
Tuvalu,2008,626
Uganda,2008,421
Ukraine,2008,500
United Arab Emirates,2008,211
United Kingdom,2008,91
United Republic of Tanzania,2008,341
United States of America,2008,137
Uruguay,2008,167
Uzbekistan,2008,568
Vanuatu,2008,391
Venezuela (Bolivarian Republic of),2008,200
Viet Nam,2008,232
Yemen,2008,420
Zambia,2008,527
Zimbabwe,2008,206
