Country or Area,Year(s),Value
Afghanistan,2008,69
Albania,2008,10
Algeria,2008,48
Andorra,2008,16
Angola,2008,110
Antigua and Barbuda,2008,19
Argentina,2008,39
Armenia,2008,34
Australia,2008,11
Austria,2008,10
Azerbaijan,2008,29
Bahamas,2008,15
Bahrain,2008,20
Bangladesh,2008,97
Barbados,2008,19
Belarus,2008,26
Belgium,2008,19
Belize,2008,29
Benin,2008,102
Bhutan,2008,87
Bolivia (Plurinational State of),2008,37
Bosnia and Herzegovina,2008,13
Botswana,2008,70
Brazil,2008,32
Brunei Darussalam,2008,26
Bulgaria,2008,16
Burkina Faso,2008,94
Burundi,2008,91
Cabo Verde,2008,55
Cambodia,2008,63
Cameroon,2008,115
Canada,2008,11
Central African Republic,2008,116
Chad,2008,111
Chile,2008,17
China,2008,49
Colombia,2008,21
Comoros,2008,92
Congo,2008,95
Cook Islands,2008,38
Costa Rica,2008,12
Côte d’Ivoire,2008,166
Croatia,2008,8
Cuba,2008,19
Cyprus,2008,7
Czech Republic,2008,13
Democratic People's Republic of Korea,2008,49
Democratic Republic of the Congo,2008,95
Denmark,2008,18
Djibouti,2008,43
Dominica,2008,30
Dominican Republic,2008,27
Ecuador,2008,10
Egypt,2008,20
El Salvador,2008,21
Equatorial Guinea,2008,108
Eritrea,2008,73
Estonia,2008,13
Ethiopia,2008,115
Fiji,2008,58
Finland,2008,8
France,2008,8
Gabon,2008,80
Gambia,2008,118
Georgia,2008,8
Germany,2008,11
Ghana,2008,93
Greece,2008,11
Grenada,2008,26
Guatemala,2008,14
Guinea,2008,137
Guinea-Bissau,2008,128
Guyana,2008,23
Haiti,2008,25
Honduras,2008,22
Hungary,2008,29
Iceland,2008,7
India,2008,133
Indonesia,2008,64
Iran (Islamic Republic of),2008,23
Iraq,2008,35
Ireland,2008,12
Israel,2008,12
Italy,2008,6
Jamaica,2008,26
Japan,2008,6
Jordan,2008,24
Kazakhstan,2008,41
Kenya,2008,69
Kiribati,2008,47
Kuwait,2008,10
Kyrgyzstan,2008,63
Lao People's Democratic Republic,2008,99
Latvia,2008,12
Lebanon,2008,22
Lesotho,2008,108
Liberia,2008,89
Libya,2008,27
Lithuania,2008,14
Luxembourg,2008,16
Madagascar,2008,69
Malawi,2008,125
Malaysia,2008,36
Maldives,2008,74
Mali,2008,71
Malta,2008,11
Marshall Islands,2008,195
Mauritania,2008,85
Mauritius,2008,29
Mexico,2008,20
Micronesia (Federated States of),2008,51
Monaco,2008,8
Mongolia,2008,22
Montenegro,2008,21
Morocco,2008,23
Mozambique,2008,125
Myanmar,2008,65
Namibia,2008,84
Nauru,2008,100
Nepal,2008,57
Netherlands,2008,12
New Zealand,2008,14
Nicaragua,2008,21
Niger,2008,57
Nigeria,2008,90
Niue,2008,41
Norway,2008,15
Oman,2008,19
Pakistan,2008,86
Palau,2008,50
Panama,2008,15
Papua New Guinea,2008,80
Paraguay,2008,12
Peru,2008,15
Philippines,2008,51
Poland,2008,14
Portugal,2008,11
Qatar,2008,8
Republic of Korea,2008,8
Republic of Moldova,2008,29
Romania,2008,17
Russian Federation,2008,21
Rwanda,2008,68
Saint Kitts and Nevis,2008,6
Saint Lucia,2008,23
Saint Vincent and the Grenadines,2008,21
Samoa,2008,51
San Marino,2008,2
Sao Tome and Principe,2008,40
Saudi Arabia,2008,15
Senegal,2008,73
Serbia,2008,19
Seychelles,2008,32
Sierra Leone,2008,92
Singapore,2008,8
Slovakia,2008,13
Slovenia,2008,6
Solomon Islands,2008,42
Somalia,2008,71
South Africa,2008,68
Spain,2008,14
Sri Lanka,2008,47
Sudan,2008,65
Suriname,2008,14
Swaziland,2008,136
Sweden,2008,9
Switzerland,2008,7
Syrian Arab Republic,2008,27
Tajikistan,2008,31
Thailand,2008,37
The former Yugoslav Republic of Macedonia,2008,16
Timor-Leste,2008,53
Togo,2008,89
Tonga,2008,56
Trinidad and Tobago,2008,18
Tunisia,2008,13
Turkey,2008,30
Turkmenistan,2008,42
Tuvalu,2008,79
Uganda,2008,111
Ukraine,2008,24
United Arab Emirates,2008,12
United Kingdom,2008,20
United Republic of Tanzania,2008,86
United States of America,2008,24
Uruguay,2008,27
Uzbekistan,2008,28
Vanuatu,2008,53
Venezuela (Bolivarian Republic of),2008,14
Viet Nam,2008,38
Yemen,2008,46
Zambia,2008,135
Zimbabwe,2008,51
