Country or Area,Year(s),Value
Afghanistan,2008,713
Albania,2008,46
Algeria,2008,202
Andorra,2008,16
Angola,2008,819
Antigua and Barbuda,2008,86
Argentina,2008,87
Armenia,2008,74
Australia,2008,18
Austria,2008,14
Azerbaijan,2008,102
Bahamas,2008,91
Bahrain,2008,63
Bangladesh,2008,344
Barbados,2008,86
Belarus,2008,30
Belgium,2008,33
Belize,2008,119
Benin,2008,618
Bhutan,2008,359
Bolivia (Plurinational State of),2008,253
Bosnia and Herzegovina,2008,22
Botswana,2008,739
Brazil,2008,97
Brunei Darussalam,2008,55
Bulgaria,2008,31
Burkina Faso,2008,801
Burundi,2008,943
Cabo Verde,2008,213
Cambodia,2008,478
Cameroon,2008,861
Canada,2008,23
Central African Republic,2008,1060
Chad,2008,1009
Chile,2008,43
China,2008,58
Colombia,2008,64
Comoros,2008,472
Congo,2008,692
Cook Islands,2008,109
Costa Rica,2008,32
Côte d’Ivoire,2008,904
Croatia,2008,20
Cuba,2008,47
Cyprus,2008,17
Czech Republic,2008,25
Democratic People's Republic of Korea,2008,264
Democratic Republic of the Congo,2008,932
Denmark,2008,27
Djibouti,2008,470
Dominica,2008,78
Dominican Republic,2008,147
Ecuador,2008,105
Egypt,2008,76
El Salvador,2008,127
Equatorial Guinea,2008,720
Eritrea,2008,303
Estonia,2008,21
Ethiopia,2008,721
Fiji,2008,166
Finland,2008,11
France,2008,23
Gabon,2008,545
Gambia,2008,525
Georgia,2008,72
Germany,2008,21
Ghana,2008,608
Greece,2008,25
Grenada,2008,86
Guatemala,2008,225
Guinea,2008,759
Guinea-Bissau,2008,928
Guyana,2008,194
Haiti,2008,545
Honduras,2008,152
Hungary,2008,16
Iceland,2008,18
India,2008,363
Indonesia,2008,244
Iran (Islamic Republic of),2008,82
Iraq,2008,168
Ireland,2008,29
Israel,2008,31
Italy,2008,16
Jamaica,2008,159
Japan,2008,40
Jordan,2008,84
Kazakhstan,2008,95
Kenya,2008,624
Kiribati,2008,263
Kuwait,2008,53
Kyrgyzstan,2008,112
Lao People's Democratic Republic,2008,376
Latvia,2008,30
Lebanon,2008,47
Lesotho,2008,1255
Liberia,2008,782
Libya,2008,69
Lithuania,2008,34
Luxembourg,2008,25
Madagascar,2008,408
Malawi,2008,1156
Malaysia,2008,185
Maldives,2008,59
Mali,2008,827
Malta,2008,26
Marshall Islands,2008,343
Mauritania,2008,575
Mauritius,2008,52
Mexico,2008,68
Micronesia (Federated States of),2008,203
Monaco,2008,22
Mongolia,2008,89
Montenegro,2008,17
Morocco,2008,104
Mozambique,2008,957
Myanmar,2008,461
Namibia,2008,670
Nauru,2008,240
Nepal,2008,338
Netherlands,2008,28
New Zealand,2008,15
Nicaragua,2008,87
Niger,2008,730
Nigeria,2008,832
Niue,2008,142
Norway,2008,27
Oman,2008,22
Pakistan,2008,387
Palau,2008,144
Panama,2008,92
Papua New Guinea,2008,373
Paraguay,2008,93
Peru,2008,173
Philippines,2008,231
Poland,2008,28
Portugal,2008,46
Qatar,2008,31
Republic of Korea,2008,29
Republic of Moldova,2008,59
Romania,2008,38
Russian Federation,2008,71
Rwanda,2008,595
Saint Kitts and Nevis,2008,61
Saint Lucia,2008,81
Saint Vincent and the Grenadines,2008,115
Samoa,2008,194
San Marino,2008,19
Sao Tome and Principe,2008,279
Saudi Arabia,2008,86
Senegal,2008,509
Serbia,2008,17
Seychelles,2008,149
Sierra Leone,2008,1042
Singapore,2008,66
Slovakia,2008,35
Slovenia,2008,21
Solomon Islands,2008,196
Somalia,2008,736
South Africa,2008,983
Spain,2008,24
Sri Lanka,2008,79
Sudan,2008,377
Suriname,2008,126
Swaziland,2008,1200
Sweden,2008,20
Switzerland,2008,17
Syrian Arab Republic,2008,56
Tajikistan,2008,229
Thailand,2008,153
The former Yugoslav Republic of Macedonia,2008,24
Timor-Leste,2008,444
Togo,2008,635
Tonga,2008,173
Trinidad and Tobago,2008,104
Tunisia,2008,134
Turkey,2008,53
Turkmenistan,2008,166
Tuvalu,2008,266
Uganda,2008,810
Ukraine,2008,94
United Arab Emirates,2008,73
United Kingdom,2008,36
United Republic of Tanzania,2008,782
United States of America,2008,34
Uruguay,2008,55
Uzbekistan,2008,104
Vanuatu,2008,175
Venezuela (Bolivarian Republic of),2008,71
Viet Nam,2008,122
Yemen,2008,232
Zambia,2008,961
Zimbabwe,2008,1552
