Country or Area,Year(s),Value
Afghanistan,2012,21.8
Afghanistan,2011,19.4
Afghanistan,2010,27.8
Afghanistan,2009,23.4
Afghanistan,2008,22.2
Afghanistan,2007,17.0
Afghanistan,2006,21.3
Afghanistan,2005,12.3
Afghanistan,2004,5.9
Afghanistan,2003,4.0
Afghanistan,2002,22.2
Albania,2012,3.7
Albania,2011,1.1
Albania,2010,2.1
Albania,2009,3.1
Albania,2008,2.4
Albania,2007,4.5
Albania,2006,4.5
Albania,2005,3.6
Albania,2004,4.5
Albania,2003,3.8
Albania,2002,2.8
Albania,2001,5.2
Albania,2000,6.0
Albania,1999,9.7
Albania,1998,0.5
Albania,1997,2.6
Albania,1996,2.8
Albania,1995,15.2
Algeria,2012,0.0
Algeria,2011,0.0
Algeria,2010,0.0
Algeria,2009,0.1
Algeria,2008,0.2
Algeria,2007,0.1
Algeria,2006,0.2
Algeria,2005,0.1
Algeria,2004,0.1
Algeria,2003,0.1
Algeria,2002,0.1
Algeria,2001,0.1
Algeria,2000,0.1
Algeria,1999,0.1
Algeria,1998,0.0
Algeria,1997,0.0
Algeria,1996,0.1
Algeria,1995,0.1
Andorra,2010,0.0
Andorra,2009,0.0
Andorra,2008,0.0
Andorra,2007,0.0
Andorra,2006,0.0
Andorra,2005,0.0
Andorra,2004,0.0
Andorra,2003,0.0
Andorra,2002,0.0
Andorra,2001,0.0
Andorra,2000,0.0
Andorra,1999,0.0
Andorra,1998,0.0
Andorra,1997,0.0
Andorra,1996,0.0
Andorra,1995,0.0
Angola,2012,1.7
Angola,2011,2.3
Angola,2010,2.3
Angola,2009,3.0
Angola,2008,3.7
Angola,2007,3.1
Angola,2006,2.9
Angola,2005,3.7
Angola,2004,3.2
Angola,2003,2.1
Angola,2002,7.1
Angola,2001,5.4
Angola,2000,2.5
Angola,1999,1.8
Angola,1998,5.2
Angola,1997,9.9
Angola,1996,3.7
Angola,1995,4.4
Antigua and Barbuda,2011,3.6
Antigua and Barbuda,2010,0.0
Antigua and Barbuda,2009,0.0
Antigua and Barbuda,2008,0.0
Antigua and Barbuda,2007,0.0
Antigua and Barbuda,2006,0.0
Antigua and Barbuda,2005,0.0
Antigua and Barbuda,2004,0.0
Antigua and Barbuda,2003,1.0
Argentina,2012,0.7
Argentina,2011,0.8
Argentina,2010,0.4
Argentina,2009,0.4
Argentina,2008,1.0
Argentina,2007,0.2
Argentina,2006,0.3
Argentina,2005,1.2
Argentina,2004,6.0
Argentina,2003,0.3
Argentina,2001,0.0
Argentina,2000,0.0
Argentina,1998,0.1
Argentina,1997,0.0
Argentina,1996,0.1
Argentina,1995,0.0
Armenia,2012,6.4
Armenia,2011,8.0
Armenia,2010,7.6
Armenia,2009,8.5
Armenia,2008,10.3
Armenia,2007,15.6
Armenia,2006,14.8
Armenia,2005,13.0
Armenia,2004,7.0
Armenia,2003,7.6
Armenia,2002,10.9
Armenia,2001,18.8
Armenia,2000,8.7
Armenia,1999,15.8
Armenia,1998,6.5
Armenia,1997,5.3
Armenia,1996,4.8
Armenia,1995,3.8
Australia,2012,0
Australia,2011,0
Australia,2010,0
Australia,2009,0
Australia,2008,0
Australia,2007,0
Australia,2006,0
Australia,2005,0
Australia,2004,0
Australia,2003,0
Australia,2002,0
Australia,2001,0
Australia,2000,0
Australia,1999,0
Australia,1998,0
Australia,1997,0
Australia,1996,0
Australia,1995,0
Austria,2007,0.0
Austria,2006,0.0
Austria,2005,0.0
Austria,2004,0.0
Austria,2003,0.0
Austria,2002,0.0
Austria,2001,0.0
Austria,2000,0.0
Austria,1999,0.0
Austria,1998,0.0
Austria,1997,0.0
Austria,1996,0.0
Austria,1995,0.0
Azerbaijan,2012,1.0
Azerbaijan,2011,0.7
Azerbaijan,2010,0.7
Azerbaijan,2009,0.5
Azerbaijan,2008,0.6
Azerbaijan,2007,0.7
Azerbaijan,2006,0.6
Azerbaijan,2005,0.3
Azerbaijan,2004,0.7
Azerbaijan,2003,1.1
Azerbaijan,2002,1.6
