Albania,2008,(blank),(blank),Q1 (Poorest),18.2
Albania,2008,(blank),(blank),Q2,19.0
Albania,2008,(blank),(blank),Q3,39.8
Albania,2008,(blank),(blank),Q4,14.7
Albania,2008,(blank),(blank),Q5 (Richest),5.9
Albania,2008,Primary,(blank),(blank),37.0
Albania,2008,Secondary or higher,(blank),(blank),5.7
Armenia,2010,(blank),(blank),Q1 (Poorest),50.1
Armenia,2010,(blank),(blank),Q2,30.7
Armenia,2010,(blank),(blank),Q3,23.4
Armenia,2010,(blank),(blank),Q4,20.2
Armenia,2010,(blank),(blank),Q5 (Richest),12.1
Armenia,2005,(blank),(blank),Q1 (Poorest),47.1
Armenia,2005,(blank),(blank),Q2,39.0
Armenia,2005,(blank),(blank),Q3,37.9
Armenia,2005,(blank),(blank),Q4,34.6
Armenia,2005,(blank),(blank),Q5 (Richest),12.3
Armenia,2005,Secondary or higher,(blank),(blank),32.9
Armenia,2000,Secondary or higher,(blank),(blank),57.4
Armenia,2000,(blank),Urban,(blank),38.2
Armenia,2000,(blank),(blank),Q1 (Poorest),110.2
Armenia,2000,(blank),(blank),Q2,72.9
Armenia,2000,(blank),(blank),Q3,39.0
Armenia,2000,(blank),(blank),Q4,45.3
Armenia,2000,(blank),(blank),Q5 (Richest),34.4
Azerbaijan,2006,(blank),(blank),Q1 (Poorest),59.6
Azerbaijan,2006,(blank),(blank),Q2,54.6
Azerbaijan,2006,(blank),(blank),Q3,33.8
Azerbaijan,2006,(blank),(blank),Q4,24.9
Azerbaijan,2006,(blank),(blank),Q5 (Richest),15.6
Azerbaijan,2006,,(blank),(blank),68.9
Azerbaijan,2006,Primary,(blank),(blank),104.0
Azerbaijan,2006,Secondary or higher,(blank),(blank),34.4
Benin,2006,,(blank),(blank),170.6
Benin,2006,Primary,(blank),(blank),94.1
Benin,2006,Secondary or higher,(blank),(blank),27.8
Benin,2006,(blank),(blank),Q1 (Poorest),172.6
Benin,2006,(blank),(blank),Q2,155.1
Benin,2006,(blank),(blank),Q3,147.8
Benin,2006,(blank),(blank),Q4,104.4
Benin,2006,(blank),(blank),Q5 (Richest),40.4
Benin,2001,,(blank),(blank),142.8
Benin,2001,Primary,(blank),(blank),88.0
Benin,2001,Secondary or higher,(blank),(blank),23.1
Benin,2001,(blank),(blank),Q1 (Poorest),163.7
Benin,2001,(blank),(blank),Q2,145.0
Benin,2001,(blank),(blank),Q3,145.3
Benin,2001,(blank),(blank),Q4,95.0
Benin,2001,(blank),(blank),Q5 (Richest),37.8
Benin,1996,(blank),(blank),Q1 (Poorest),186.0
Benin,1996,(blank),(blank),Q2,167.3
Benin,1996,(blank),(blank),Q3,152.4
Benin,1996,(blank),(blank),Q4,107.8
Benin,1996,(blank),(blank),Q5 (Richest),38.6
Benin,1996,,(blank),(blank),153.6
Benin,1996,Primary,(blank),(blank),92.8
Benin,1996,Secondary or higher,(blank),(blank),18.7
Bolivia (Plurinational State of),2008,,(blank),(blank),191.8
Bolivia (Plurinational State of),2008,Primary,(blank),(blank),191.1
Bolivia (Plurinational State of),2008,Secondary or higher,(blank),(blank),53.9
Bolivia (Plurinational State of),2008,(blank),(blank),Q1 (Poorest),176.9
Bolivia (Plurinational State of),2008,(blank),(blank),Q2,121.3
Bolivia (Plurinational State of),2008,(blank),(blank),Q3,101.8
Bolivia (Plurinational State of),2008,(blank),(blank),Q4,67.5
Bolivia (Plurinational State of),2008,(blank),(blank),Q5 (Richest),28.9
Bolivia (Plurinational State of),2008,(blank),Rural,(blank),134.8
Bolivia (Plurinational State of),2003,(blank),(blank),Q1 (Poorest),169.1
Bolivia (Plurinational State of),2003,(blank),(blank),Q2,156.9
Bolivia (Plurinational State of),2003,(blank),(blank),Q3,106.7
Bolivia (Plurinational State of),2003,(blank),(blank),Q4,78.6
Bolivia (Plurinational State of),2003,(blank),(blank),Q5 (Richest),41.2
Bolivia (Plurinational State of),2003,(blank),Urban,(blank),78.4
Bolivia (Plurinational State of),2003,,(blank),(blank),224.8
Bolivia (Plurinational State of),2003,Primary,(blank),(blank),173.5
Bolivia (Plurinational State of),2003,Secondary or higher,(blank),(blank),55.8
Bolivia (Plurinational State of),1998,(blank),Urban,(blank),71.0
Bolivia (Plurinational State of),1998,(blank),(blank),Q1 (Poorest),173.5
Bolivia (Plurinational State of),1998,(blank),(blank),Q2,131.0
Bolivia (Plurinational State of),1998,(blank),(blank),Q3,101.0
Bolivia (Plurinational State of),1998,(blank),(blank),Q4,70.0
Bolivia (Plurinational State of),1998,(blank),(blank),Q5 (Richest),31.1
Bolivia (Plurinational State of),1998,,(blank),(blank),167.5
Bolivia (Plurinational State of),1998,Primary,(blank),(blank),166.6
Bolivia (Plurinational State of),1998,Secondary or higher,(blank),(blank),58.9
Bolivia (Plurinational State of),1994,(blank),Urban,(blank),82.2
Bolivia (Plurinational State of),1994,(blank),(blank),Q1 (Poorest),138.6
Bolivia (Plurinational State of),1994,(blank),(blank),Q2,136.9
Bolivia (Plurinational State of),1994,(blank),(blank),Q3,107.5
Bolivia (Plurinational State of),1994,(blank),(blank),Q4,89.5
Bolivia (Plurinational State of),1994,(blank),(blank),Q5 (Richest),42.1
Bolivia (Plurinational State of),1994,,(blank),(blank),154.4
Bolivia (Plurinational State of),1994,Primary,(blank),(blank),148.0
Bolivia (Plurinational State of),1994,Secondary or higher,(blank),(blank),68.9
Brazil,1996,,(blank),(blank),281.2
Brazil,1996,Primary,(blank),(blank),142.5
Brazil,1996,Secondary or higher,(blank),(blank),65.6
Brazil,1996,(blank),(blank),Q1 (Poorest),167.6
Brazil,1996,(blank),(blank),Q2,106.1
Brazil,1996,(blank),(blank),Q3,77.9
Brazil,1996,(blank),(blank),Q4,62.4
Brazil,1996,(blank),(blank),Q5 (Richest),33.8
Brazil,1996,(blank),Urban,(blank),80.5
Burkina Faso,2003,,(blank),(blank),157.2
Burkina Faso,2003,Primary,(blank),(blank),97.0
Burkina Faso,2003,Secondary or higher,(blank),(blank),34.5
Burkina Faso,2003,(blank),(blank),Q1 (Poorest),168.3
Burkina Faso,2003,(blank),(blank),Q2,167.8
Burkina Faso,2003,(blank),(blank),Q3,153.9
Burkina Faso,2003,(blank),(blank),Q4,143.1
Burkina Faso,2003,(blank),(blank),Q5 (Richest),65.3
Burkina Faso,1998,,(blank),(blank),160.2
Burkina Faso,1998,Primary,(blank),(blank),114.1
Burkina Faso,1998,Secondary or higher,(blank),(blank),44.1
Burkina Faso,1998,(blank),(blank),Q1 (Poorest),167.6
Burkina Faso,1998,(blank),(blank),Q2,156.7
Burkina Faso,1998,(blank),(blank),Q3,159.4
Burkina Faso,1998,(blank),(blank),Q4,168.2
Burkina Faso,1998,(blank),(blank),Q5 (Richest),89.1
