Country or Area,Year(s),Value
Afghanistan,2012,7.1
Afghanistan,2011,3.5
Afghanistan,2010,3.5
Afghanistan,2009,3.0
Afghanistan,2008,2.6
Afghanistan,2007,1.4
Afghanistan,2006,1.5
Afghanistan,2005,1.1
Afghanistan,2004,1.9
Afghanistan,2003,1.4
Afghanistan,2002,6.7
Albania,2012,9.9
Albania,2011,9.9
Albania,2010,8.5
Albania,2009,8.5
Albania,2008,8.4
Albania,2007,8.9
Albania,2006,9.0
Albania,2005,9.7
Albania,2004,9.2
Albania,2003,7.8
Albania,2002,7.2
Albania,2001,7.3
Albania,2000,7.1
Albania,1999,7.2
Albania,1998,6.3
Albania,1997,6.8
Albania,1996,6.6
Albania,1995,5.5
Algeria,2012,9.8
Algeria,2011,9.0
Algeria,2010,8.9
Algeria,2009,8.6
Algeria,2008,8.1
Algeria,2007,8.1
Algeria,2006,7.8
Algeria,2005,8.2
Algeria,2004,8.5
Algeria,2003,8.5
Algeria,2002,8.4
Algeria,2001,8.5
Algeria,2000,8.8
Algeria,1999,8.0
Algeria,1998,8.1
Algeria,1997,8.3
Algeria,1996,8.6
Algeria,1995,8.5
Andorra,2010,21.3
Andorra,2009,21.3
Andorra,2008,21.3
Andorra,2007,21.3
Andorra,2006,22.8
Andorra,2005,22.0
Andorra,2004,22.7
Andorra,2003,22.0
Andorra,2002,20.0
Andorra,2001,19.2
Andorra,2000,19.1
Andorra,1999,20.8
Andorra,1998,28.7
Andorra,1997,23.2
Andorra,1996,23.8
Andorra,1995,23.6
Angola,2012,5.6
Angola,2011,5.6
Angola,2010,6.3
Angola,2009,6.0
Angola,2008,6.5
Angola,2007,6.4
Angola,2006,9.6
Angola,2005,6.2
Angola,2004,6.4
Angola,2003,4.8
Angola,2002,3.7
Angola,2001,5.8
Angola,2000,2.9
Angola,1999,2.6
Angola,1998,3.3
Angola,1997,4.4
Angola,1996,2.9
Angola,1995,5.3
Antigua and Barbuda,2012,17.8
Antigua and Barbuda,2011,15.8
Antigua and Barbuda,2010,17.9
Antigua and Barbuda,2009,11.4
Antigua and Barbuda,2008,10.8
Antigua and Barbuda,2007,10.8
Antigua and Barbuda,2006,10.1
Antigua and Barbuda,2005,12.1
Antigua and Barbuda,2004,10.7
Antigua and Barbuda,2003,11.9
Antigua and Barbuda,2002,9.9
Antigua and Barbuda,2001,10.8
Antigua and Barbuda,2000,11.4
Antigua and Barbuda,1999,11.9
Antigua and Barbuda,1998,12.0
Antigua and Barbuda,1997,12.0
Antigua and Barbuda,1996,12.0
Antigua and Barbuda,1995,12.9
Argentina,2012,22.5
Argentina,2011,21.7
Argentina,2010,17.4
Argentina,2009,14.4
Argentina,2008,13.4
Argentina,2007,13.3
Argentina,2006,13.8
Argentina,2005,14.0
Argentina,2004,14.7
Argentina,2003,14.5
Argentina,2002,15.3
Argentina,2001,14.2
Argentina,2000,14.7
Argentina,1999,15.1
Argentina,1998,15.0
Argentina,1997,15.0
Argentina,1996,15.2
Argentina,1995,15.3
Armenia,2012,7.9
Armenia,2011,7.4
Armenia,2010,7.0
Armenia,2009,6.7
Armenia,2008,7.0
Armenia,2007,10.4
Armenia,2006,11.3
Armenia,2005,10.2
Armenia,2004,8.0
Armenia,2003,7.9
Armenia,2002,7.0
Armenia,2001,7.7
Armenia,2000,5.3
Armenia,1999,6.6
Armenia,1998,7.7
Armenia,1997,8.1
Armenia,1996,8.4
Armenia,1995,8.3
Australia,2012,17.8
Australia,2011,17.8
Australia,2010,17.2
Australia,2009,17.6
Australia,2008,16.8
Australia,2007,17.2
Australia,2006,16.8
Australia,2005,16.7
Australia,2004,16.5
Australia,2003,15.9
Australia,2002,16.3
Australia,2001,15.4
Australia,2000,15.1
Australia,1999,15.4
Australia,1998,14.5
Australia,1997,14.5
Australia,1996,13.6
Australia,1995,13.1
Austria,2012,16.9
Austria,2011,16.9
Austria,2010,16.5
Austria,2009,16.2
Austria,2008,16.2
Austria,2007,16.0
Austria,2006,15.7
Austria,2005,15.7
Austria,2004,14.5
Austria,2003,15.0
Austria,2002,14.9
Austria,2001,14.8
Austria,2000,14.6
Austria,1999,14.4
