Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFGHANISTAN,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,38,70,106,255,110,138,140,151,89,130,226,168,49,0
(blank),Travel,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,36,68,103,246,105,132,137,147,79,118,203,129,30,0
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9,5,6,3,4,10,12,23,39,19,0
ALBANIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,955,"1,303","1,350","1,694","2,097","2,616","2,979","3,716","3,404","3,443","4,120","3,959","3,928","4,146","4,504","4,852","5,186","5,415","5,922","2,907","4,191"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,19,25,13,22,35,290,269,386,507,669,808,989,"1,331","1,644","1,692","1,452","1,677","1,374","1,567","1,689","1,311","1,338","1,473","1,750","1,852",805,"1,325"
(blank),Travel,US$ Millions,(blank),IMF,7,12,5,5,12,272,257,365,489,642,786,965,"1,268","1,555","1,585","1,360","1,565","1,284","1,479","1,590","1,238","1,262","1,433","1,679","1,770",763,"1,265"
(blank),Passenger transport,US$ Millions,(blank),IMF,12,13,8,17,23,18,12,21,18,27,22,24,63,89,107,92,112,90,88,99,73,76,40,71,82,42,60
ALGERIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),"1,090",874,827,879,903,"1,006","1,190","1,257","1,254","1,417","1,513","1,349","1,499","1,539","1,677","1,757","1,715","1,911","2,136","2,839","3,638","4,530","5,058","5,610","5,732","1,386",344
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,660,414,502,613,574,716,595,598,531,679,762,556,632,542,670,272,238
(blank),Travel,US$ Millions,(blank),IMF,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,601,527,529,471,608,685,474,580,498,638,234,208
